Open Date;Close Date;Symbol;Action;Lots;SL;TP;Open Price;Close Price;Commission;Swap;Pips;Profit;Gain;Duration (DD:HH:MM:SS);Profitable(%);Profitable(time duration);Drawdown;Risk:Reward;Max(pips);Max(USD);Min(pips);Min(USD);Entry Accuracy(%);Exit Accuracy(%);ProfitMissed(pips);ProfitMissed(USD)
04/24/2018 21:00;04/24/2018 22:49;EUR/USD;Buy;2.28;0;0;1.2233;1.22332;-11.16;-84.59;0;-91.18;;;;;;;;;;;;;;
04/24/2018 21:01;04/24/2018 21:46;GBP/AUD;Buy;3.03;0;0;1.83763;1.83828;-16.94;0;0;132.79;;;;;;;;;;;;;;
04/24/2018 03:15;04/24/2018 07:53;GBP/USD;Sell;2.92;0;0;1.3936;1.39366;-16.28;0;0;-33.8;;;;;;;;;;;;;;
04/24/2018 00:00;04/24/2018 02:12;EUR/USD;Sell;2.92;0;0;1.22096;1.21895;-14.25;0;0;572.67;;;;;;;;;;;;;;
04/23/2018 20:55;04/24/2018 01:01;GBP/USD;Sell;0.6;0;0;1.39446;1.39374;-3.35;-5.7;0;34.15;;;;;;;;;;;;;;
04/20/2018 02:30;04/23/2018 10:42;USD/JPY;Buy;0.19;0;0;107.67;108.188;-0.76;-0.07;0;90.14;;;;;;;;;;;;;;
04/17/2018 21:00;04/23/2018 09:39;EUR/USD;Sell;2.16;0;0;1.23722;1.22497;-10.64;16.85;0;2652.21;;;;;;;;;;;;;;
04/23/2018 01:30;04/23/2018 05:45;GBP/USD;Sell;2.92;0;0;1.40148;1.4015;-16.37;0;0;-22.21;;;;;;;;;;;;;;
04/20/2018 21:30;04/23/2018 00:01;EUR/GBP;Sell;0.6;0;0;0.87702;0.87678;-2.95;-6.98;0;10.24;;;;;;;;;;;;;;
04/22/2018 22:05;04/22/2018 23:45;GBP/USD;Buy;2.28;0;0;1.39987;1.40052;-12.77;0;0;135.43;;;;;;;;;;;;;;
04/20/2018 21:02;04/20/2018 21:17;USD/JPY;Sell;0.6;0;0;107.662;107.629;-2.4;0;0;16;;;;;;;;;;;;;;
04/20/2018 10:41;04/20/2018 15:32;NZD/CAD;Buy;0.5;0;0;0.91488;0.9185;-1.44;0;0;140.57;;;;;;;;;;;;;;
04/19/2018 17:20;04/20/2018 15:32;NZD/CAD;Buy;0.16;0;0;0.91921;0.9184;-0.46;-1.34;0;-11.97;;;;;;;;;;;;;;
04/20/2018 06:20;04/20/2018 15:32;NZD/CAD;Buy;0.33;0;0;0.91708;0.91842;-0.95;0;0;33.74;;;;;;;;;;;;;;
04/19/2018 11:26;04/20/2018 15:32;NZD/CAD;Buy;0.16;0;0;0.92147;0.91837;-0.46;-1.34;0;-40.73;;;;;;;;;;;;;;
04/20/2018 11:00;04/20/2018 12:45;GBP/USD;Sell;2.92;0;0;1.40624;1.40538;-16.42;0;0;234.7;;;;;;;;;;;;;;
04/19/2018 18:31;04/20/2018 11:36;EUR/GBP;Sell;0.11;0;0;0.87441;0.87411;-0.54;-1.29;0;2.82;;;;;;;;;;;;;;
04/20/2018 06:49;04/20/2018 11:36;EUR/GBP;Sell;0.11;0;0;0.87713;0.87411;-0.54;0;0;46.21;;;;;;;;;;;;;;
04/19/2018 19:00;04/20/2018 08:31;GBP/USD;Sell;0.1;0;0;1.40853;1.40409;-0.56;-0.95;0;42.89;;;;;;;;;;;;;;
04/19/2018 21:20;04/19/2018 22:05;EUR/USD;Sell;2.2;0;0;1.23513;1.23467;-10.87;2.86;0;93.19;;;;;;;;;;;;;;
04/19/2018 21:41;04/19/2018 21:47;GBP/AUD;Buy;2.83;0;0;1.82166;1.82236;-15.94;0;0;137.14;;;;;;;;;;;;;;
04/19/2018 21:03;04/19/2018 21:46;EUR/AUD;Buy;2.83;0;0;1.59674;1.59727;-13.97;0;0;101.93;;;;;;;;;;;;;;
04/19/2018 21:00;04/19/2018 21:41;GBP/USD;Sell;2.2;0;0;1.40916;1.40813;-12.4;0;0;214.2;;;;;;;;;;;;;;
04/16/2018 09:00;04/19/2018 17:11;AUD/USD;Buy;0.1;0;0;0.77761;0.77365;-0.31;-10.75;0;-50.66;;;;;;;;;;;;;;
04/10/2018 21:12;04/19/2018 15:49;USD/CAD;Sell;0.45;0;0;1.261;1.26089;-1.8;-116.35;0;-114.23;;;;;;;;;;;;;;
04/19/2018 08:33;04/19/2018 11:44;EUR/GBP;Sell;0.11;0;0;0.87345;0.86977;-0.54;0;0;57.04;;;;;;;;;;;;;;
04/18/2018 10:00;04/19/2018 11:44;EUR/GBP;Sell;0.11;0;0;0.87061;0.86976;-0.54;-3.89;0;8.87;;;;;;;;;;;;;;
04/19/2018 08:15;04/19/2018 08:36;GBP/USD;Sell;2.92;0;0;1.42156;1.42031;-16.6;0;0;348.4;;;;;;;;;;;;;;
04/19/2018 04:15;04/19/2018 07:30;GBP/USD;Sell;2.92;0;0;1.42019;1.41946;-16.58;0;0;196.58;;;;;;;;;;;;;;
04/18/2018 15:02;04/18/2018 22:59;NZD/CAD;Sell;0.16;0;0;0.9244;0.92368;-0.47;-11.67;0;-3.02;;;;;;;;;;;;;;
04/18/2018 16:18;04/18/2018 22:59;NZD/CAD;Sell;0.16;0;0;0.92657;0.92368;-0.47;-11.67;0;24.47;;;;;;;;;;;;;;
04/18/2018 21:43;04/18/2018 22:53;GBP/AUD;Sell;2.79;0;0;1.82529;1.82503;-15.85;-39.74;0;0.87;;;;;;;;;;;;;;
04/18/2018 22:24;04/18/2018 22:51;EUR/AUD;Sell;2.79;0;0;1.59021;1.59027;-13.81;0;0;-26.84;;;;;;;;;;;;;;
04/18/2018 21:00;04/18/2018 22:05;EUR/GBP;Buy;1.53;0;0;0.87131;0.87132;-7.57;-207.35;0;-212.75;;;;;;;;;;;;;;
04/18/2018 13:00;04/18/2018 18:01;GBP/USD;Sell;2.92;0;0;1.42166;1.42146;-16.6;0;0;41.8;;;;;;;;;;;;;;
04/17/2018 14:48;04/18/2018 15:01;NZD/CAD;Buy;0.33;0;0;0.92087;0.92357;-0.97;-2.79;0;66.96;;;;;;;;;;;;;;
04/17/2018 06:03;04/18/2018 15:01;NZD/CAD;Buy;0.16;0;0;0.92321;0.92364;-0.47;-1.35;0;3.64;;;;;;;;;;;;;;
04/16/2018 11:24;04/18/2018 15:01;NZD/CAD;Buy;0.16;0;0;0.92526;0.92379;-0.47;-2.7;0;-21.83;;;;;;;;;;;;;;
04/18/2018 10:00;04/18/2018 13:37;GBP/USD;Sell;0.1;0;0;1.41893;1.42305;-0.57;0;0;-41.77;;;;;;;;;;;;;;
04/18/2018 01:20;04/18/2018 02:08;GBP/USD;Sell;0.6;0;0;1.42994;1.42915;-3.43;0;0;43.97;;;;;;;;;;;;;;
04/17/2018 22:54;04/18/2018 01:06;EUR/AUD;Sell;2.83;0;0;1.59235;1.59241;-14;0;0;-27.2;;;;;;;;;;;;;;
04/17/2018 21:46;04/17/2018 22:30;GBP/USD;Sell;2.16;0;0;1.42933;1.42891;-12.35;-20.52;0;57.85;;;;;;;;;;;;;;
